time,co2,site,lat,lon
1993-10-01,358.585,HAT2031,24.06069,123.80939
1993-11-01,358.607,HAT2031,24.06069,123.80939
1993-12-01,361.27,HAT2031,24.06069,123.80939
1994-01-01,361.933,HAT2031,24.06069,123.80939
1994-02-01,362.963,HAT2031,24.06069,123.80939
1994-03-01,363.637,HAT2031,24.06069,123.80939
1994-04-01,363.614,HAT2031,24.06069,123.80939
1994-05-01,363.564,HAT2031,24.06069,123.80939
1994-06-01,360.708,HAT2031,24.06069,123.80939
1994-07-01,359.834,HAT2031,24.06069,123.80939
1994-08-01,357.847,HAT2031,24.06069,123.80939
1994-09-01,355.574,HAT2031,24.06069,123.80939
1994-10-01,358.552,HAT2031,24.06069,123.80939
1994-11-01,359.443,HAT2031,24.06069,123.80939
1994-12-01,361.973,HAT2031,24.06069,123.80939
1995-01-01,362.669,HAT2031,24.06069,123.80939
1995-02-01,363.872,HAT2031,24.06069,123.80939
1995-03-01,364.427,HAT2031,24.06069,123.80939
1995-04-01,364.61,HAT2031,24.06069,123.80939
1995-05-01,364.261,HAT2031,24.06069,123.80939
1995-06-01,362.776,HAT2031,24.06069,123.80939
1995-07-01,361.309,HAT2031,24.06069,123.80939
1995-08-01,359.432,HAT2031,24.06069,123.80939
1995-09-01,357.714,HAT2031,24.06069,123.80939
1995-10-01,360.342,HAT2031,24.06069,123.80939
1995-11-01,363.21,HAT2031,24.06069,123.80939
1995-12-01,363.996,HAT2031,24.06069,123.80939
1996-01-01,365.387,HAT2031,24.06069,123.80939
1996-02-01,366.674,HAT2031,24.06069,123.80939
1996-03-01,366.663,HAT2031,24.06069,123.80939
1996-04-01,367.819,HAT2031,24.06069,123.80939
1996-05-01,367.386,HAT2031,24.06069,123.80939
1996-06-01,365.311,HAT2031,24.06069,123.80939
1996-07-01,363.07,HAT2031,24.06069,123.80939
1996-08-01,360.778,HAT2031,24.06069,123.80939
1996-09-01,359.322,HAT2031,24.06069,123.80939
1996-10-01,360.766,HAT2031,24.06069,123.80939
1996-11-01,362.668,HAT2031,24.06069,123.80939
1996-12-01,365.1,HAT2031,24.06069,123.80939
1997-01-01,366.069,HAT2031,24.06069,123.80939
1997-02-01,367.571,HAT2031,24.06069,123.80939
1997-03-01,368.042,HAT2031,24.06069,123.80939
1997-04-01,368.292,HAT2031,24.06069,123.80939
1997-05-01,367.167,HAT2031,24.06069,123.80939
1997-06-01,363.994,HAT2031,24.06069,123.80939
1997-07-01,364.057,HAT2031,24.06069,123.80939
1997-08-01,362.728,HAT2031,24.06069,123.80939
1997-09-01,360.36,HAT2031,24.06069,123.80939
1997-10-01,362.954,HAT2031,24.06069,123.80939
1997-11-01,364.48,HAT2031,24.06069,123.80939
1997-12-01,366.587,HAT2031,24.06069,123.80939
1998-01-01,368.735,HAT2031,24.06069,123.80939
1998-02-01,369.558,HAT2031,24.06069,123.80939
1998-03-01,369.874,HAT2031,24.06069,123.80939
1998-04-01,369.12,HAT2031,24.06069,123.80939
1998-05-01,369.561,HAT2031,24.06069,123.80939
1998-06-01,369.254,HAT2031,24.06069,123.80939
1998-07-01,368.227,HAT2031,24.06069,123.80939
1998-08-01,365.871,HAT2031,24.06069,123.80939
1998-09-01,363.485,HAT2031,24.06069,123.80939
1998-10-01,366.056,HAT2031,24.06069,123.80939
1998-11-01,367.936,HAT2031,24.06069,123.80939
1998-12-01,369.825,HAT2031,24.06069,123.80939
1999-01-01,371.676,HAT2031,24.06069,123.80939
1999-02-01,371.988,HAT2031,24.06069,123.80939
1999-03-01,373.062,HAT2031,24.06069,123.80939
1999-04-01,373.34,HAT2031,24.06069,123.80939
1999-05-01,372.828,HAT2031,24.06069,123.80939
1999-06-01,370.305,HAT2031,24.06069,123.80939
1999-07-01,368.927,HAT2031,24.06069,123.80939
1999-08-01,367.392,HAT2031,24.06069,123.80939
1999-09-01,365.866,HAT2031,24.06069,123.80939
1999-10-01,367.269,HAT2031,24.06069,123.80939
1999-11-01,369.573,HAT2031,24.06069,123.80939
1999-12-01,370.682,HAT2031,24.06069,123.80939
2000-01-01,372.677,HAT2031,24.06069,123.80939
2000-02-01,373.346,HAT2031,24.06069,123.80939
2000-03-01,374.063,HAT2031,24.06069,123.80939
2000-04-01,374.695,HAT2031,24.06069,123.80939
2000-05-01,373.421,HAT2031,24.06069,123.80939
2000-06-01,371.335,HAT2031,24.06069,123.80939
2000-07-01,369.702,HAT2031,24.06069,123.80939
2000-08-01,368.805,HAT2031,24.06069,123.80939
2000-09-01,365.573,HAT2031,24.06069,123.80939
2000-10-01,368.244,HAT2031,24.06069,123.80939
2000-11-01,370.624,HAT2031,24.06069,123.80939
2000-12-01,372.931,HAT2031,24.06069,123.80939
2001-01-01,374.204,HAT2031,24.06069,123.80939
2001-02-01,374.601,HAT2031,24.06069,123.80939
2001-03-01,376.087,HAT2031,24.06069,123.80939
2001-04-01,376.224,HAT2031,24.06069,123.80939
2001-05-01,375.411,HAT2031,24.06069,123.80939
2001-06-01,373.099,HAT2031,24.06069,123.80939
2001-07-01,371.353,HAT2031,24.06069,123.80939
2001-08-01,368.532,HAT2031,24.06069,123.80939
2001-09-01,367.849,HAT2031,24.06069,123.80939
2001-10-01,371.735,HAT2031,24.06069,123.80939
2001-11-01,373.133,HAT2031,24.06069,123.80939
2001-12-01,374.772,HAT2031,24.06069,123.80939
2002-01-01,376.35,HAT2031,24.06069,123.80939
2002-02-01,377.079,HAT2031,24.06069,123.80939
2002-03-01,376.611,HAT2031,24.06069,123.80939
2002-04-01,377.5,HAT2031,24.06069,123.80939
2002-05-01,376.843,HAT2031,24.06069,123.80939
2002-06-01,375.065,HAT2031,24.06069,123.80939
2002-07-01,373.695,HAT2031,24.06069,123.80939
2002-08-01,371.668,HAT2031,24.06069,123.80939
2002-09-01,371.171,HAT2031,24.06069,123.80939
2002-10-01,373.962,HAT2031,24.06069,123.80939
2002-11-01,375.428,HAT2031,24.06069,123.80939
2002-12-01,376.447,HAT2031,24.06069,123.80939
2003-01-01,379.198,HAT2031,24.06069,123.80939
2003-02-01,379.438,HAT2031,24.06069,123.80939
2003-03-01,380.622,HAT2031,24.06069,123.80939
2003-04-01,380.954,HAT2031,24.06069,123.80939
2003-05-01,381.168,HAT2031,24.06069,123.80939
2003-06-01,377.601,HAT2031,24.06069,123.80939
2003-07-01,376.863,HAT2031,24.06069,123.80939
2003-08-01,374.973,HAT2031,24.06069,123.80939
2003-09-01,373.895,HAT2031,24.06069,123.80939
2003-10-01,375.503,HAT2031,24.06069,123.80939
2003-11-01,377.134,HAT2031,24.06069,123.80939
2003-12-01,380.102,HAT2031,24.06069,123.80939
2004-01-01,381.704,HAT2031,24.06069,123.80939
2004-02-01,381.868,HAT2031,24.06069,123.80939
2004-03-01,383.172,HAT2031,24.06069,123.80939
2004-04-01,383.771,HAT2031,24.06069,123.80939
2004-05-01,381.06,HAT2031,24.06069,123.80939
2004-06-01,379.067,HAT2031,24.06069,123.80939
2004-07-01,377.679,HAT2031,24.06069,123.80939
2004-08-01,376.195,HAT2031,24.06069,123.80939
2004-09-01,375.101,HAT2031,24.06069,123.80939
2004-10-01,377.115,HAT2031,24.06069,123.80939
2004-11-01,379.543,HAT2031,24.06069,123.80939
2004-12-01,381.386,HAT2031,24.06069,123.80939
2005-01-01,383.984,HAT2031,24.06069,123.80939
2005-02-01,384.112,HAT2031,24.06069,123.80939
2005-03-01,385.053,HAT2031,24.06069,123.80939
2005-04-01,385.229,HAT2031,24.06069,123.80939
2005-05-01,384.409,HAT2031,24.06069,123.80939
2005-06-01,381.994,HAT2031,24.06069,123.80939
2005-07-01,380.611,HAT2031,24.06069,123.80939
2005-08-01,378.913,HAT2031,24.06069,123.80939
2005-09-01,377.106,HAT2031,24.06069,123.80939
2005-10-01,379.15,HAT2031,24.06069,123.80939
2005-11-01,381.921,HAT2031,24.06069,123.80939
2005-12-01,384.3,HAT2031,24.06069,123.80939
2006-01-01,385.573,HAT2031,24.06069,123.80939
2006-02-01,386.662,HAT2031,24.06069,123.80939
2006-03-01,386.923,HAT2031,24.06069,123.80939
2006-04-01,388.127,HAT2031,24.06069,123.80939
2006-05-01,385.647,HAT2031,24.06069,123.80939
2006-06-01,383.958,HAT2031,24.06069,123.80939
2006-07-01,381.939,HAT2031,24.06069,123.80939
2006-08-01,380.337,HAT2031,24.06069,123.80939
2006-09-01,379.56,HAT2031,24.06069,123.80939
2006-10-01,382.302,HAT2031,24.06069,123.80939
2006-11-01,384.912,HAT2031,24.06069,123.80939
2006-12-01,385.836,HAT2031,24.06069,123.80939
2007-01-01,387.519,HAT2031,24.06069,123.80939
2007-02-01,387.533,HAT2031,24.06069,123.80939
2007-03-01,389.185,HAT2031,24.06069,123.80939
2007-04-01,389.309,HAT2031,24.06069,123.80939
2007-05-01,387.72,HAT2031,24.06069,123.80939
2007-06-01,386.685,HAT2031,24.06069,123.80939
2007-07-01,384.297,HAT2031,24.06069,123.80939
2007-08-01,382.317,HAT2031,24.06069,123.80939
