time,co2,site,lat,lon
2011-01-01,405.3,HKG2034,22.2095,114.2579
2011-02-01,400.8,HKG2034,22.2095,114.2579
2011-03-01,401.2,HKG2034,22.2095,114.2579
2011-04-01,396.2,HKG2034,22.2095,114.2579
2011-05-01,390.1,HKG2034,22.2095,114.2579
2011-06-01,377.8,HKG2034,22.2095,114.2579
2011-07-01,376.3,HKG2034,22.2095,114.2579
2011-08-01,379.3,HKG2034,22.2095,114.2579
2011-09-01,381.4,HKG2034,22.2095,114.2579
2011-10-01,389.8,HKG2034,22.2095,114.2579
2011-11-01,390.3,HKG2034,22.2095,114.2579
2011-12-01,398.2,HKG2034,22.2095,114.2579
2012-01-01,408.0,HKG2034,22.2095,114.2579
2012-02-01,404.6,HKG2034,22.2095,114.2579
2012-03-01,404.2,HKG2034,22.2095,114.2579
2012-04-01,398.4,HKG2034,22.2095,114.2579
2012-05-01,388.9,HKG2034,22.2095,114.2579
2012-06-01,391.4,HKG2034,22.2095,114.2579
2012-07-01,385.4,HKG2034,22.2095,114.2579
2012-08-01,388.0,HKG2034,22.2095,114.2579
2012-09-01,385.9,HKG2034,22.2095,114.2579
2012-10-01,396.9,HKG2034,22.2095,114.2579
2012-11-01,396.7,HKG2034,22.2095,114.2579
2013-01-01,414.1,HKG2034,22.2095,114.2579
2013-02-01,403.5,HKG2034,22.2095,114.2579
2013-03-01,403.6,HKG2034,22.2095,114.2579
2013-04-01,406.4,HKG2034,22.2095,114.2579
2013-05-01,398.6,HKG2034,22.2095,114.2579
2013-06-01,402.1,HKG2034,22.2095,114.2579
2013-07-01,391.5,HKG2034,22.2095,114.2579
2013-08-01,402.4,HKG2034,22.2095,114.2579
2013-09-01,382.8,HKG2034,22.2095,114.2579
2013-10-01,400.7,HKG2034,22.2095,114.2579
2013-11-01,401.8,HKG2034,22.2095,114.2579
2013-12-01,409.9,HKG2034,22.2095,114.2579
2014-01-01,407.7,HKG2034,22.2095,114.2579
2014-02-01,403.6,HKG2034,22.2095,114.2579
2014-03-01,412.2,HKG2034,22.2095,114.2579
2014-04-01,393.4,HKG2034,22.2095,114.2579
2014-05-01,394.1,HKG2034,22.2095,114.2579
