time,co2,site,lat,lon
2010-05-01,398.7,HKO2033,22.312,114.173
2010-06-01,390.6,HKO2033,22.312,114.173
2010-07-01,384.8,HKO2033,22.312,114.173
2010-08-01,390.3,HKO2033,22.312,114.173
2010-09-01,389.1,HKO2033,22.312,114.173
2010-10-01,393.6,HKO2033,22.312,114.173
2010-11-01,402.0,HKO2033,22.312,114.173
2010-12-01,407.5,HKO2033,22.312,114.173
2011-01-01,413.9,HKO2033,22.312,114.173
2011-02-01,407.4,HKO2033,22.312,114.173
2011-03-01,411.6,HKO2033,22.312,114.173
2011-04-01,406.0,HKO2033,22.312,114.173
2011-05-01,401.7,HKO2033,22.312,114.173
2011-06-01,395.1,HKO2033,22.312,114.173
2011-07-01,393.8,HKO2033,22.312,114.173
2011-08-01,395.9,HKO2033,22.312,114.173
2011-09-01,383.6,HKO2033,22.312,114.173
2011-10-01,391.7,HKO2033,22.312,114.173
2011-11-01,394.8,HKO2033,22.312,114.173
2011-12-01,401.9,HKO2033,22.312,114.173
2012-01-01,418.3,HKO2033,22.312,114.173
2012-02-01,409.5,HKO2033,22.312,114.173
2012-03-01,410.6,HKO2033,22.312,114.173
2012-04-01,411.1,HKO2033,22.312,114.173
2012-05-01,400.5,HKO2033,22.312,114.173
2012-06-01,392.8,HKO2033,22.312,114.173
2012-07-01,390.8,HKO2033,22.312,114.173
2012-08-01,396.7,HKO2033,22.312,114.173
2012-09-01,392.8,HKO2033,22.312,114.173
2012-10-01,387.0,HKO2033,22.312,114.173
2012-11-01,410.2,HKO2033,22.312,114.173
2012-12-01,416.0,HKO2033,22.312,114.173
2013-01-01,419.7,HKO2033,22.312,114.173
2013-02-01,413.8,HKO2033,22.312,114.173
2013-03-01,416.7,HKO2033,22.312,114.173
2013-04-01,417.7,HKO2033,22.312,114.173
2013-05-01,405.8,HKO2033,22.312,114.173
2013-06-01,395.5,HKO2033,22.312,114.173
2013-07-01,395.2,HKO2033,22.312,114.173
2013-08-01,397.0,HKO2033,22.312,114.173
2013-09-01,396.6,HKO2033,22.312,114.173
2013-10-01,403.5,HKO2033,22.312,114.173
2013-11-01,410.3,HKO2033,22.312,114.173
2013-12-01,419.6,HKO2033,22.312,114.173
2014-01-01,419.2,HKO2033,22.312,114.173
2014-02-01,414.8,HKO2033,22.312,114.173
2014-03-01,419.1,HKO2033,22.312,114.173
2014-04-01,415.0,HKO2033,22.312,114.173
2014-05-01,404.6,HKO2033,22.312,114.173
2014-06-01,401.3,HKO2033,22.312,114.173
2014-07-01,399.6,HKO2033,22.312,114.173
2014-08-01,396.7,HKO2033,22.312,114.173
2014-09-01,401.1,HKO2033,22.312,114.173
2014-10-01,404.2,HKO2033,22.312,114.173
2014-11-01,413.2,HKO2033,22.312,114.173
2014-12-01,416.6,HKO2033,22.312,114.173
2015-01-01,417.6,HKO2033,22.312,114.173
2015-02-01,415.3,HKO2033,22.312,114.173
2015-03-01,416.9,HKO2033,22.312,114.173
2015-04-01,413.7,HKO2033,22.312,114.173
2015-05-01,404.3,HKO2033,22.312,114.173
2015-06-01,387.1,HKO2033,22.312,114.173
2015-07-01,397.7,HKO2033,22.312,114.173
2015-08-01,402.3,HKO2033,22.312,114.173
2015-09-01,395.7,HKO2033,22.312,114.173
2015-10-01,409.1,HKO2033,22.312,114.173
2015-11-01,411.9,HKO2033,22.312,114.173
2015-12-01,421.9,HKO2033,22.312,114.173
2016-01-01,425.5,HKO2033,22.312,114.173
2016-02-01,422.8,HKO2033,22.312,114.173
2016-03-01,423.9,HKO2033,22.312,114.173
2016-04-01,417.3,HKO2033,22.312,114.173
2016-05-01,410.2,HKO2033,22.312,114.173
2016-06-01,404.5,HKO2033,22.312,114.173
