time,co2,site,lat,lon
1997-01-01,367.1,YON2028,24.4667,123.0106
1997-02-01,367.71,YON2028,24.4667,123.0106
1997-03-01,368.54,YON2028,24.4667,123.0106
1997-04-01,369.2,YON2028,24.4667,123.0106
1997-05-01,368.3,YON2028,24.4667,123.0106
1997-06-01,364.99,YON2028,24.4667,123.0106
1997-07-01,364.4,YON2028,24.4667,123.0106
1997-08-01,363.24,YON2028,24.4667,123.0106
1997-09-01,360.94,YON2028,24.4667,123.0106
1997-10-01,363.77,YON2028,24.4667,123.0106
1997-11-01,365.53,YON2028,24.4667,123.0106
1997-12-01,367.84,YON2028,24.4667,123.0106
1998-01-01,369.9,YON2028,24.4667,123.0106
1998-02-01,370.61,YON2028,24.4667,123.0106
1998-03-01,370.81,YON2028,24.4667,123.0106
1998-04-01,369.94,YON2028,24.4667,123.0106
1998-05-01,370.77,YON2028,24.4667,123.0106
1998-06-01,370.14,YON2028,24.4667,123.0106
1998-07-01,368.81,YON2028,24.4667,123.0106
1998-08-01,366.86,YON2028,24.4667,123.0106
1998-09-01,363.91,YON2028,24.4667,123.0106
1998-10-01,367.19,YON2028,24.4667,123.0106
1998-11-01,369.09,YON2028,24.4667,123.0106
1998-12-01,370.37,YON2028,24.4667,123.0106
1999-01-01,372.27,YON2028,24.4667,123.0106
1999-02-01,372.45,YON2028,24.4667,123.0106
1999-03-01,373.6,YON2028,24.4667,123.0106
1999-04-01,374.17,YON2028,24.4667,123.0106
1999-05-01,373.71,YON2028,24.4667,123.0106
1999-06-01,370.15,YON2028,24.4667,123.0106
1999-07-01,369.41,YON2028,24.4667,123.0106
1999-08-01,367.86,YON2028,24.4667,123.0106
1999-09-01,366.78,YON2028,24.4667,123.0106
1999-10-01,368.13,YON2028,24.4667,123.0106
1999-11-01,370.25,YON2028,24.4667,123.0106
1999-12-01,371.64,YON2028,24.4667,123.0106
2000-01-01,373.9,YON2028,24.4667,123.0106
2000-02-01,374.1,YON2028,24.4667,123.0106
2000-03-01,374.8,YON2028,24.4667,123.0106
2000-04-01,375.69,YON2028,24.4667,123.0106
2000-05-01,374.21,YON2028,24.4667,123.0106
2000-06-01,372.3,YON2028,24.4667,123.0106
2000-07-01,370.75,YON2028,24.4667,123.0106
2000-08-01,369.07,YON2028,24.4667,123.0106
2000-09-01,366.55,YON2028,24.4667,123.0106
2000-10-01,369.7,YON2028,24.4667,123.0106
2000-11-01,371.6,YON2028,24.4667,123.0106
2000-12-01,373.84,YON2028,24.4667,123.0106
2001-01-01,374.98,YON2028,24.4667,123.0106
2001-02-01,375.3,YON2028,24.4667,123.0106
2001-03-01,376.78,YON2028,24.4667,123.0106
2001-04-01,376.79,YON2028,24.4667,123.0106
2001-05-01,376.33,YON2028,24.4667,123.0106
2001-06-01,374.32,YON2028,24.4667,123.0106
2001-07-01,372.07,YON2028,24.4667,123.0106
2001-08-01,369.05,YON2028,24.4667,123.0106
2001-09-01,368.27,YON2028,24.4667,123.0106
2001-10-01,372.3,YON2028,24.4667,123.0106
2001-11-01,373.93,YON2028,24.4667,123.0106
2001-12-01,375.72,YON2028,24.4667,123.0106
2002-01-01,376.81,YON2028,24.4667,123.0106
2002-02-01,377.59,YON2028,24.4667,123.0106
2002-03-01,377.17,YON2028,24.4667,123.0106
2002-04-01,378.29,YON2028,24.4667,123.0106
2002-05-01,377.57,YON2028,24.4667,123.0106
2002-06-01,375.23,YON2028,24.4667,123.0106
2002-07-01,374.44,YON2028,24.4667,123.0106
2002-08-01,373.29,YON2028,24.4667,123.0106
2002-09-01,371.42,YON2028,24.4667,123.0106
2002-10-01,375.28,YON2028,24.4667,123.0106
2002-11-01,376.22,YON2028,24.4667,123.0106
2002-12-01,377.44,YON2028,24.4667,123.0106
2003-01-01,379.5,YON2028,24.4667,123.0106
2003-02-01,379.82,YON2028,24.4667,123.0106
2003-03-01,381.41,YON2028,24.4667,123.0106
2003-04-01,381.7,YON2028,24.4667,123.0106
2003-05-01,382.23,YON2028,24.4667,123.0106
2003-06-01,378.52,YON2028,24.4667,123.0106
2003-07-01,376.1,YON2028,24.4667,123.0106
2003-08-01,375.74,YON2028,24.4667,123.0106
2003-09-01,373.99,YON2028,24.4667,123.0106
2003-10-01,376.27,YON2028,24.4667,123.0106
2003-11-01,377.91,YON2028,24.4667,123.0106
2003-12-01,380.67,YON2028,24.4667,123.0106
2004-01-01,382.25,YON2028,24.4667,123.0106
2004-02-01,382.07,YON2028,24.4667,123.0106
2004-03-01,383.67,YON2028,24.4667,123.0106
2004-04-01,384.52,YON2028,24.4667,123.0106
